Category,Item,Details,대화 활용 팁
기본 정보,이름,Eric Bahn (에릭 반),
기본 정보,역할,"Hustle Fund Co-Founder & General Partner",
기본 정보,나이대,40대 중반 추정 (Stanford 2000년대 초반 졸업),
기본 정보,출생지,"Detroit, Michigan (디트로이트)",디트로이트 출신이라 중서부 문화 공감 가능
기본 정보,현재 거주지,San Francisco Bay Area (샌프란시스코),
기본 정보,학력,"Stanford University (BA, MA)",스탠포드 출신 - 엘리트 배경이지만 pedigree보다 실행력 중시
기본 정보,Twitter/X,@ericbahn (88K+ 팔로워),활발한 트위터 활동 - 여기서 그의 생각 확인 가능
한국 연결점,본인 정체성,"'Not many people know I'm North Korean. Sort of. My father was born in North Korea.'",이 스토리를 알면 깊은 대화 가능 - 단 무거운 주제이므로 진지한 맥락에서
한국 연결점,아버지 출생지,**북한 (North Korea)** - 아버지가 북한에서 태어남,실제 북한 출생 - 한국전쟁 전후 피난민 가정
한국 연결점,아버지 탈북 스토리,"아버지가 태어난 바로 그 날, 가족 전체가 공산주의자를 피해 남쪽으로 도보 탈출",밤에 도보 이동 - 붙잡히면 죽음 또는 수용소
한국 연결점,강 건너기 에피소드,"작은 배로 강을 건널 때, 할머니에게 '아기(아버지)가 울면 물에 빠뜨려 익사시키라'는 지시",극적인 생존 스토리 - Eric 존재 자체가 '운'의 증거
한국 연결점,기적의 생존,아버지가 강을 건너는 동안 잠들어서 가족 전체 무사 탈출,이 이야기가 Eric의 '운 vs 실력' 철학의 근원
한국 연결점,아버지 이후 삶,"남한에서 생존 → 의대 진학 → 베트남전 군의관 → 미국 시민권 → 미시간 정착",전형적 한국 이민자 성공 스토리
한국 연결점,아버지 직업,의사 (Doctor) - 베트남전 참전 군의관 출신,이민자 가정의 성공 스토리
한국 연결점,어머니 역할,전업주부 (Homemaker),
한국 연결점,부모님 이민 시기,1960년대 후반-70년대 초반 미국 이민,한국인 부모님 이야기에 공감 표현 가능
한국 연결점,부모님 교육 방식,"동화(assimilation) 중시 - 집에서 영어만 사용하게 함, Eric은 한국어 못함",한국어 못 배운 것 후회한다고 밝힘
한국 연결점,아내 배경,"한국계 미국인, 텍사스 남부 McAllen 출신, 부모님도 한국 이민자",아내 가정은 한국 문화 보존에 적극적 (한국어/음식)
한국 연결점,아내를 통한 문화 학습,"'I've actually learned a lot about my heritage through her' - 아내 덕분에 한국 문화 접함",같은 세대 교포지만 아내가 한국 문화 더 잘 알아
한국 연결점,한국어 구사,"본인은 한국어 못함 (부모님이 영어만 쓰게 해서), 아내는 한국어 가능",자녀들이 한국 사촌들과 교류 (사촌들은 한국어만)
한국 연결점,한국 방문,"자녀들과 한국 방문하여 친척 만남, Seoul Founder Friends (2026.01.20 첫 행사)",한국에 양가 가족 대부분 거주
한국 연결점,자녀 한국 문화,"자녀들 한국 방문 - 음식/문화/음악 좋아함, 한국어만 하는 사촌들과 잘 어울림",heritage 전달 노력 중
한국 연결점,한국 LP 투자자,"Naver (네이버) - Hustle Fund I의 주요 LP",한국 대기업과의 연결점 있음
한국 연결점,한국 파트너십,현대차 정몽구 재단 지원으로 Seoul Founder Friends 개최,현대차 재단과 협력 관계
가족,아내,"Beatrice Kim (beakim.com) - Tech Executive 출신, 현재 Executive & Life Coach","'My amazing wife Bea Kim' - 아내를 매우 자랑스러워함"
가족,자녀,Stella와 Owen (2명),아이들 교육에 열정적
가족,만남 스토리,"Stanford 대학교 1학년 첫날, 기숙사 이웃으로 만남","대학 첫날 만난 사람과 결혼 - 로맨틱한 스토리"
가족,결혼 기간,인생의 절반 이상 함께 (20년+ 추정),장기 관계의 안정감
가족,가족 철학,"매년 연말 'Family Values Social Contract' 미팅 - 가치관 논의 후 문서화하여 식당에 게시",체계적인 가족 운영 방식 - 이 이야기 물어보면 좋아할 것
창업 스토리,첫 번째 창업 - Beat the GMAT,2005년 Stanford 기숙사에서 시작,GMAT 공부 블로그로 시작 → 300만 회원 커뮤니티
창업 스토리,Beat the GMAT 성장,"여자친구(현 아내)와 부모님만 읽던 블로그가 자연 성장, 부트스트랩으로 7년간 성장",외부 투자 없이 성장한 부트스트랩 성공 사례
창업 스토리,Beat the GMAT Exit,"2012년 Daily Mail에 인수, 2년간 Director of Product Management 역임",첫 번째 성공적 Exit
창업 스토리,두 번째 창업 - The Hustle,Hustle Con 컨퍼런스에서 시작한 뉴스레터,150만 구독자 달성 → HubSpot에 인수
창업 스토리,세 번째 Exit,Beat the GMAT 이후 The Hustle 관련 프로젝트,3개 회사 창업 및 매각 경험
창업 스토리,실패 경험,"게임 스타트업 완전 실패 - Mafia Wars 클론, 100명도 안 되는 사용자","실패에서 배운 교훈: 1) 팀 alignment 중요 2) 열정과 일치해야 함 3) 부트스트랩해서 평판 손상 없었음"
직장 경험,Intuit,첫 직장 - Customer Service 로테이션 프로그램 (Tucson Arizona),고객 서비스에서 시작한 humble 배경
직장 경험,Facebook/Instagram PM,"Instagram 최초의 소규모 비즈니스 광고 플랫폼 출시 - $500M+ 매출 창출","'마지막 real job' - 아내 임신으로 건강보험 필요해서 취직"
직장 경험,500 Startups,Partner로 활동 - Elizabeth Yin과 함께,여기서 투자 경험 쌓음
