Company,Website,Sector,Description,Investment Year,Round,Status,Recent 2025-2026,Eric Bahn Investment
Gamma,gamma.app,AI/Productivity,AI presentation tool - PowerPoint alternative,2021,Seed,Active - Unicorn $2.1B,No,Yes (Hustle Fund)
Webflow,webflow.com,Enterprise/No-code,Visual website builder and CMS,Pre-2017,Seed,Active - Unicorn $4B,No,Yes (Personal Angel)
Boom Supersonic,boomsupersonic.com,Aerospace,Supersonic commercial aircraft manufacturer,Pre-2017,Seed,Active - Unicorn,No,Yes (Personal Angel)
NerdWallet,nerdwallet.com,FinTech,Personal finance information and recommendations,Pre-2017,Seed,IPO 2021 - NASDAQ,No,Yes (Personal Angel)
Rupa Health,rupahealth.com,Digital Health,Specialty lab test ordering platform,2020-2021,Seed,Acquired by Fullscript,No,Yes (Hustle Fund)
Bicycle Health,bicyclehealth.com,Digital Health,Addiction treatment telemedicine platform,2020+,Seed,Active,★ Follow-on 2025,Yes (Hustle Fund)
The Pill Club,thepillclub.com,Digital Health,Birth control delivery and reproductive health,2019-2020,Seed,Active,No,Yes (Hustle Fund)
Nova Credit,novacredit.com,FinTech,Cross-border credit passport and credit products,2018-2019,Seed,Active,No,Yes (Hustle Fund)
Jefa,jefa.com,FinTech,Digital bank for women in Latin America,2020-2021,Seed,Acquired,No,Yes (Hustle Fund)
Vinovest,vinovest.co,FinTech,Wine investment platform,2020-2021,Seed,Active,No,Yes (Hustle Fund)
Falcon,falcon.com,FinTech,Cloud-native financial products platform,2020-2021,Seed,Active,No,Yes (Hustle Fund)
Vested Finance,vestedfinance.com,FinTech,US stock trading platform for international investors,2020-2021,Seed,Active,No,Yes (Hustle Fund)
BON Credit,boncredit.com,FinTech,Financial software solution,2024-2025,Pre-seed,Active,★ 2025,Yes (Hustle Fund)
Fusepay,fusepay.io,FinTech,B2B payments platform for frontier markets,2025,Seed - $350K Lead,Active,★ 2025 - Lead,Yes (Hustle Fund)
HoneyBook,honeybook.com,B2B SaaS,Business management for creative entrepreneurs,2019-2020,Seed,Active,No,Yes (Hustle Fund)
Karat,karat.com,B2B SaaS,Technical interviewing platform,2019-2020,Seed,Active,No,Yes (Hustle Fund)
Forage,theforage.com,B2B SaaS,Virtual work experience platform,2020-2021,Seed,Active,No,Yes (Hustle Fund)
Vimcal,vimcal.com,B2B SaaS,Fast calendar app for professionals,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Pento,pento.io,B2B SaaS,Payroll automation for European companies,2020-2021,Seed,Active,No,Yes (Hustle Fund)
Contra,contra.com,B2B SaaS,Commission-free freelancer marketplace,2020-2021,Seed,Active,No,Yes (Hustle Fund)
AbstractOps,abstractops.com,B2B SaaS,Operations automation platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
MidLyr,midlyr.com,B2B SaaS,Business/productivity software,2024-2025,Pre-seed,Active,★ 2025,Yes (Hustle Fund)
Ciphero,ciphero.ai,AI Security,AI verification layer for enterprise agentic workflows,2025,Pre-seed - $2.5M,Active,★ 2025-12-23,Yes (Hustle Fund)
Berbix,berbix.com,Identity,Identity verification platform,2019-2020,Seed,Acquired,No,Yes (Hustle Fund)
Shoplive,shoplive.io,Consumer,Live shopping and commerce platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Pod Foods,podfoods.co,Food/Agriculture,B2B marketplace for specialty food brands,2020-2021,Seed,Active,No,Yes (Hustle Fund)
3DIMO,3dimo.com,Tech,-,2021-2022,Seed,Active,No,Yes (Hustle Fund)
AcadArena,acadarena.com,Gaming/Esports,Campus esports platform for students,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Academlo,academlo.com,Education,Tech education bootcamp,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Accomplish Health,accomplishhealth.com,Digital Health,Healthcare platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Adaptive Live,adaptivelive.com,Tech,Live technology platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
AgendaZap,agendazap.com,Productivity,Scheduling and calendar management,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Agot AI,agot.ai,AI,AI technology company,2021-2022,Seed,Active,No,Yes (Hustle Fund)
Aireal,aireal.com,Tech,Technology platform,2021-2022,Seed,Active,No,Yes (Hustle Fund)
