Company,Website,Investment Date,Round,Amount,Sector,Description,Lead Investor,Co-Investors,Status
Ciphero,ciphero.ai,2025-12-23,Pre-seed,$2.5M,AI Security,AI verification layer for enterprise agentic workflows - flags risky AI activity and ensures reliable AI outputs,Sovereign's Capital & Chingona Ventures (Co-lead),"BlueWing Ventures, Bullpen Capital, Everywhere Ventures, Hustle Fund",Active
Fusepay,fusepay.io,2025-08,Seed,$350K,FinTech,B2B payments platform digitizing payments in frontier markets (Seychelles-founded),Hustle Fund (Lead),"Everywhere Ventures, First Check Ventures, Startup Istanbul",Active
Noble Mobile,noblemobile.com,2025-09-16,Seed,-,Mobile,Mobile technology platform,-,Hustle Fund,Active
Harmony AI,harmonyai.com,2025-07,Seed,$1.6M,AI/Productivity,Workflow automation platform that automates busy work,-,Hustle Fund,Active
Punchup Live,punchup.live,2025-06,Seed,$2.3M,Entertainment,Live entertainment platform expanding comedy/performance shows,-,Hustle Fund,Active
Elfie,elfie.health,2025,Seed,$12M,Digital Health,Digital therapeutics platform expanding free access globally,-,Hustle Fund,Active
Mappa,mappa.world,2025,Seed,-,Tech,Technology platform (First-time Hustle Fund investment),-,Hustle Fund,Active
Guama,guama.co,2025,Seed,-,Tech,Technology platform (First-time Hustle Fund investment),-,Hustle Fund,Active
Bicycle Health,bicyclehealth.com,2025,Follow-on,-,Digital Health,Addiction treatment telemedicine platform (Follow-on investment),-,Hustle Fund,Active
Daydream,daydream.com,2024-2025,Pre-seed,$2.5M,B2B SaaS,Programmatic SEO platform for enterprises,Basis Set Ventures,"WndrCo, SOMA Capital, Hustle Fund",Active
BON Credit,boncredit.com,2025,Pre-seed,-,FinTech,Financial software solution,-,Hustle Fund,Active
MidLyr,midlyr.com,2025,Pre-seed,-,B2B SaaS,Business/productivity software,-,Hustle Fund,Active
GotSafety,gotsafety.com,2025,Seed,-,Health-tech,Safety and health technology platform (Eric Bahn personal),-,Eric Bahn (Personal),Active
Investrio,investrio.com,2025,Seed,-,FinTech,AI bookkeeper platform (Featured on The Pitch Show),-,Hustle Fund,Active
