Company,Website,Investment Type,Investment Year,Round,Current Value/Status,Sector,Description,Investment Thesis Fit
Webflow,webflow.com,Personal Angel (Pre-HF),Pre-2017,Seed,$4B Unicorn (2022),Enterprise/No-code,Visual website builder and CMS platform,High execution - scaled rapidly
NerdWallet,nerdwallet.com,Personal Angel (Pre-HF),Pre-2017,Seed,IPO 2021 NASDAQ,FinTech,Personal finance information and recommendations,High execution - market leader
Boom Supersonic,boomsupersonic.com,Personal Angel (Pre-HF),Pre-2017,Seed,Unicorn,Aerospace,Supersonic commercial aircraft manufacturer,Big vision + rapid execution
Gamma,gamma.app,Hustle Fund,2021,Seed,$2.1B Unicorn (2025),AI/Productivity,AI presentation tool replacing PowerPoint,50-person team to $100M ARR
Aviato,aviato.co,Personal Angel,2024-07,Seed,Active,B2B SaaS,Private market data analytics platform,Exceptional cold email from teenage founder
Haven,askhaven.com,Personal Angel,2024+,Angel,Active,Healthcare/Wellness,Healthcare and wellness platform,Digital health focus
Passthrough,passthrough.app,Personal Angel,2024+,Angel,Active,FinTech,Payments and financial technology,FinTech focus
GotSafety,gotsafety.com,Personal Angel,2025,Seed,Active,Health-tech,Safety and health technology platform,Health-tech focus
Rupa Health,rupahealth.com,Hustle Fund + SPV,2020-2021,Seed,Acquired by Fullscript,Digital Health,Specialty lab test ordering platform,Digital health B2B SaaS
Karat,karat.com,Hustle Fund + SPV,2019-2020,Seed,Active,B2B SaaS,Technical interviewing platform,B2B SaaS execution focus
Forage,theforage.com,Hustle Fund + SPV,2020-2021,Seed,Active,B2B SaaS,Virtual work experience platform,EdTech B2B hybrid
HoneyBook,honeybook.com,Hustle Fund,2019-2020,Seed,Active,B2B SaaS,Business management for creative entrepreneurs,B2B SaaS execution
Vimcal,vimcal.com,Hustle Fund,2021-2022,Seed,Active,B2B SaaS,Fast calendar app for professionals,Productivity SaaS
Contra,contra.com,Hustle Fund,2020-2021,Seed,Active,B2B SaaS,Commission-free freelancer marketplace,Marketplace with clear differentiation
Vinovest,vinovest.co,Hustle Fund,2020-2021,Seed,Active,FinTech,Wine investment platform,Alternative investment focus
Nova Credit,novacredit.com,Hustle Fund,2018-2019,Seed,Active,FinTech,Cross-border credit passport,FinTech innovation
Bicycle Health,bicyclehealth.com,Hustle Fund,2020+,Seed + Follow-on 2025,Active,Digital Health,Addiction treatment telemedicine,Digital health market need
The Pill Club,thepillclub.com,Hustle Fund,2019-2020,Seed,Active,Digital Health,Birth control delivery service,Digital health consumer
Ciphero,ciphero.ai,Hustle Fund,2025-12-23,Pre-seed,Active,AI Security,AI verification for enterprise agentic workflows,AI enterprise security
Fusepay,fusepay.io,Hustle Fund (Lead),2025-08,Seed,Active,FinTech,B2B payments for frontier markets,FinTech emerging markets
